Id,CreatedById,CreatedDate,FSL__Active__c,FSL__Boolean_Operator__c,FSL__Break_Duration__c,FSL__Break_Start__c,FSL__CountObject__c,FSL__CountTimeResolution__c,FSL__CountType__c,FSL__Crew_Resources_Availability__c,FSL__CustomFieldName__c,FSL__DefaultLimit__c,FSL__Description__c,FSL__Enable_Overtime__c,FSL__Enhanced_Match_Linking_Object__c,FSL__Evaluation_Order__c,FSL__Is_Fixed_Gap__c,FSL__Match_Constant_Boolean_Value__c,FSL__Match_Skill_Level__c,FSL__Maximum_Travel_From_Home_Type__c,FSL__Maximum_Travel_From_Home__c,FSL__Minimum_Gap__c,FSL__Object_Group_Field__c,FSL__Pass_Empty_Values__c,FSL__Resource_Group_Field__c,FSL__Resource_Property__c,FSL__Service_Appointment_Matching_Field__c,FSL__Service_Linking_Object_Reference_Field__c,FSL__Service_Property__c,FSL__Service_Schedule_Time_Property__c,FSL__Service_Time_Operator__c,FSL__Service_Time_Property__c,FSL__Start_of_Day__c,FSL__Travel_From_Home__c,FSL__Travel_To_Home__c,FSL__WorkRule_End_DateTime_Field__c,FSL__WorkRule_Start_DateTime_Field__c,FSL__Working_Location_Enable_Primary__c,FSL__isTimephased__c,IsDeleted,LastModifiedById,LastModifiedDate,LastReferencedDate,Name,OwnerId,RecordTypeId,SystemModstamp
a122o00000IarKZAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedStartTime,Before or Equal to,ArrivalWindowEndTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Scheduled End,0052o000009WY9nAAG,0122o000000RD7sAAG,2020-04-20T17:33:42.000+0000
a122o00000IarKMAAZ,0052o000009WY9nAAG,2020-04-20T17:33:39.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedEndTime,Before or Equal to,DueDate,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:39.000+0000,,Due Date,0052o000009WY9nAAG,0122o000000RD7sAAG,2020-04-20T17:33:39.000+0000
a122o00000IarKYAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,ArrivalWindowStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Scheduled Start,0052o000009WY9nAAG,0122o000000RD7sAAG,2020-04-20T17:33:42.000+0000
a122o00000IarKRAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Match Territory,0052o000009WY9nAAG,0122o000000RD7mAAG,2020-04-20T17:33:42.000+0000
a122o00000IJ4mzAAD,0052o000009WYLeAAO,2020-06-21T14:25:25.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,HOT_IsFreelanceInterpreter__c,,,HOT_IsReleasedToFreelance__c,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WYLeAAO,2020-06-21T14:25:25.000+0000,,Frilanse Tolk Required,0052o000009WYLeAAO,0122o000000RD7lAAG,2020-06-21T14:25:25.000+0000
a122o00000IJ4muAAD,0052o000009WYLeAAO,2020-06-21T13:57:19.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,HOT_IsEmployedInterpreter__c,,,HOT_IsEmployedInterpreter__c,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WYLeAAO,2020-06-21T13:57:19.000+0000,,Ansatte Tolk Required,0052o000009WYLeAAO,0122o000000RD7lAAG,2020-06-21T13:57:19.000+0000
a122o00000IarKWAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Service Crew Resources Availability,0052o000009WY9nAAG,0122o000000RD7kAAG,2020-04-20T17:33:42.000+0000
a122o00000IarKTAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,IsActive,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Active Resources,0052o000009WY9nAAG,0122o000000RD7jAAG,2020-04-20T17:33:42.000+0000
a122o00000ImpPoAAJ,0052o000009WYLjAAO,2021-02-12T08:27:00.000+0000,True,=,,,ServiceAppointment,Daily,Assignments,False,,,,False,HOT_ResourceMember__c,9.0,False,True,True,Distance,,,,False,,,HOT_PreferredResource__c,Resource__c,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WYLjAAO,2021-02-12T08:29:19.000+0000,,Preferred Resource,0052o000009WYLjAAO,0122o000000RD7fAAG,2021-02-12T08:29:19.000+0000
a122o00000IarKVAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Service Appointment Visiting Hours,0052o000009WY9nAAG,0122o000000RD7qAAG,2020-04-20T17:33:42.000+0000
a122o00000IarKQAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,False,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Match Skills,0052o000009WY9nAAG,0122o000000RD7nAAG,2020-04-20T17:33:42.000+0000
a122o00000IarKUAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,50.0,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Maximum Travel From Home,0052o000009WY9nAAG,0122o000000RD7oAAG,2020-04-20T17:33:42.000+0000
a122o00000IarKNAAZ,0052o000009WY9nAAG,2020-04-20T17:33:39.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,True,,,,,ServiceTerritory,SchedStartTime,Later than or Equal to,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:39.000+0000,,Earliest Start Permitted,0052o000009WY9nAAG,0122o000000RD7sAAG,2020-04-20T17:33:39.000+0000
a122o00000IarKXAAZ,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,True,=,,,,,,False,,,,False,,9.0,False,True,True,Distance,,,,False,,,,,ServiceTerritory,SchedStartTime,Before,EarliestStartTime,00:00,,,,,False,False,False,0052o000009WY9nAAG,2020-04-20T17:33:42.000+0000,,Working Territories,0052o000009WY9nAAG,0122o000000RD7hAAG,2020-04-20T17:33:42.000+0000
